:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:
23.97,CANAL 2:,12.00,CANAL 3:,-9.84
CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:
23.97,CANAL 2:,12.00,CANAL 3:,-9.84
CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:
23.97,CANAL 2:,12.00,CANAL 3:,-9.84
CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:
23.97,CANAL 2:,12.00,CANAL 3:,-9.84
CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:
23.97,CANAL 2:,12.00,CANAL 3:,-9.84
CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:,24.00
CANAL 2:,12.00,CANAL 3:,-8.96,CANAL 4:
-23.22,----MODO: DC ----,CANAL 1:,24.00,CANAL 2:
12.00,CANAL 3:,-8.96,CANAL 4:,-23.22
----MODO: DC ----,CANAL 1:,24.00,CANAL 2:,12.00
CANAL 3:,-8.96,CANAL 4:,-23.22,----MODO: DC ----
CANAL 1:,24.00,CANAL 2:,12.00,CANAL 3:
-8.96,CANAL 4:,-23.22,----MODO: DC ----,CANAL 1:
24.00,CANAL 2:,12.00,CANAL 3:,-8.96
CANAL 4:,-23.22,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:
23.97,CANAL 2:,12.00,CANAL 3:,-9.84
CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:
23.97,CANAL 2:,12.00,CANAL 3:,-9.84
CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:
23.97,CANAL 2:,12.00,CANAL 3:,-9.84
CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:
23.97,CANAL 2:,12.00,CANAL 3:,-9.84
CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:
23.97,CANAL 2:,12.00,CANAL 3:,-9.84
CANAL 4:,-23.44,-----MODO: AC ----,CANAL 1:,23.97
CANAL 2:,12.00,CANAL 3:,-9.84,CANAL 4:
-23.44,-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:
12.00,CANAL 3:,-9.84,CANAL 4:,-23.44
-----MODO: AC ----,CANAL 1:,23.97,CANAL 2:,12.00
CANAL 3:,-9.84,CANAL 4:,-23.44,-----MODO: AC ----
CANAL 1:,23.97,CANAL 2:,12.00,CANAL 3:
-9.84,CANAL 4:,-23.44,,
,,,,
