aX,aY,aZ,gX,gY,gZ
-0.104,0.557,1.011,-15.686,7.996,-140.076
-0.138,0.277,0.866,-5.798,4.944,-165.344
-0.184,0.203,0.962,-35.828,9.155,-187.134
-0.091,-0.007,1.000,-47.058,5.676,-198.181
-0.280,-1.537,1.465,-46.021,5.432,-200.195
0.289,-0.555,0.463,20.508,8.423,-87.402
0.250,-1.272,1.010,2.014,23.193,-12.390
-0.177,-0.047,1.097,-21.912,45.837,5.249
-0.266,0.058,0.799,-18.799,31.860,6.287
0.146,-0.230,1.089,2.502,32.288,1.221
-0.021,-0.296,1.271,-9.277,38.391,12.878
0.168,-0.240,1.428,-25.513,58.716,8.606
0.427,-0.144,1.575,-33.875,88.257,-5.066
0.524,-0.026,1.777,-30.212,126.770,-27.710
0.301,-0.174,1.748,-27.222,158.264,-46.814
0.328,-0.188,1.426,-32.898,191.040,-65.125
0.149,-0.222,1.483,-18.555,179.016,-72.083
-0.155,-0.126,1.570,-7.629,156.555,-80.750
-0.181,0.048,1.520,-24.048,134.399,-92.346
-0.175,-0.021,1.334,-44.434,91.553,-89.478
-0.096,-0.233,1.237,-60.974,50.659,-70.862
0.076,-0.465,1.137,-82.275,34.363,-49.561
0.197,-1.148,1.130,-69.275,59.631,-64.453
0.260,-0.091,1.049,-46.204,113.831,-121.765
0.312,-0.314,1.257,-24.841,118.286,-107.239
0.403,-0.105,1.266,-33.020,143.799,-122.742
0.545,0.008,1.385,-42.236,154.175,-141.052
0.511,-0.153,1.558,-22.095,133.057,-142.395
0.417,-0.170,1.652,-7.690,115.112,-130.432
0.380,-0.174,1.523,9.338,103.149,-122.009
0.408,-0.270,1.441,34.180,96.375,-117.676
0.331,-0.245,1.229,50.171,83.069,-113.953
0.185,-0.166,1.115,61.584,70.923,-104.736
-0.004,-0.181,0.986,75.012,61.951,-93.018
0.029,-0.234,0.890,76.050,48.401,-73.303
0.075,-0.221,0.745,53.833,33.386,-52.368
0.117,-0.191,0.790,28.503,17.883,-35.767
0.111,-0.175,0.750,3.174,5.066,-21.362
0.336,-0.190,0.865,-13.184,-9.460,-11.780
0.637,-0.198,0.815,-39.368,-17.334,-5.676
0.627,-0.040,1.191,-62.500,-14.832,-2.747
0.707,-0.142,0.969,-57.129,4.272,-4.211
0.812,-0.353,1.042,-30.273,21.606,-3.418
0.589,-0.705,0.901,32.776,33.203,14.832
0.391,-0.535,0.905,90.942,39.795,50.720
0.389,-0.396,0.573,126.343,45.776,81.421
0.351,-0.292,0.729,127.380,35.889,106.628
0.029,-0.373,1.302,179.932,29.541,144.226
-0.001,-1.025,0.298,301.392,40.161,228.699
1.161,0.665,-1.646,189.392,67.810,318.481
0.882,0.645,-0.241,-89.661,36.377,252.136
0.578,-0.274,0.519,-123.413,-23.743,158.997
0.527,-0.075,0.403,-107.239,-27.161,147.156
0.577,0.057,0.079,-90.149,-37.170,152.771
0.565,-0.063,0.293,-66.406,-71.960,145.508
0.546,-0.056,0.316,-47.119,-85.266,146.118
0.550,-0.103,0.270,-34.790,-91.919,156.494
0.584,-0.076,0.171,-24.536,-99.731,174.255
0.666,0.030,0.039,-12.695,-109.619,196.106
0.628,0.078,-0.036,2.319,-120.300,207.275
0.538,0.112,-0.167,18.250,-124.939,212.280
0.415,0.210,-0.330,34.607,-132.751,218.689
0.292,0.201,-0.520,48.401,-145.752,228.882
0.249,0.333,-0.644,59.082,-158.325,243.164
0.152,0.318,-0.884,75.317,-162.598,253.357
-0.039,0.361,-0.920,88.318,-164.612,263.367
-0.077,0.652,-0.700,108.276,-161.316,270.508
-0.358,0.716,-0.936,144.836,-151.306,258.972
-0.484,0.900,-0.864,147.705,-163.940,234.375
-0.457,1.050,-0.789,128.235,-193.420,194.031
-0.473,1.117,-0.743,104.492,-233.887,145.508
-0.483,1.119,-0.670,89.417,-268.982,103.088
-0.446,1.132,-0.540,91.858,-289.368,74.402
-0.393,1.075,-0.361,107.605,-292.786,54.016
-0.323,1.060,-0.227,127.686,-278.259,37.598
-0.215,1.013,-0.107,147.278,-255.432,19.653
-0.127,0.958,0.015,159.607,-227.356,1.587
-0.104,0.937,0.175,165.527,-197.021,-12.390
-0.101,0.886,0.308,166.626,-165.466,-22.034
-0.115,0.820,0.447,166.626,-138.123,-28.198
-0.146,0.816,0.556,158.325,-110.168,-34.973
-0.281,0.857,0.669,152.893,-87.341,-41.687
-0.443,0.849,0.801,151.733,-72.571,-50.110
-0.499,0.647,0.952,150.391,-55.115,-62.256
-0.323,0.365,1.201,142.578,-42.053,-74.219
-0.059,0.158,1.366,121.216,-27.710,-85.815
0.226,0.005,1.504,103.638,-16.968,-91.248
0.364,-0.189,1.577,101.318,-14.893,-87.341
0.381,-0.439,1.562,113.281,-4.639,-75.928
0.290,-0.633,1.480,133.911,20.508,-64.941
0.066,-0.710,1.351,167.847,61.096,-61.523
-0.173,-0.786,1.257,214.844,113.403,-72.754
-0.298,-0.786,1.166,265.686,169.434,-99.670
-0.363,-0.844,1.089,307.922,219.666,-133.057
-0.438,-0.866,0.965,333.130,246.582,-165.161
-0.467,-0.930,0.816,342.041,246.887,-189.758
-0.438,-1.098,0.668,332.825,226.807,-206.726
-0.458,-1.237,0.569,311.584,187.622,-216.980
-0.487,-1.335,0.484,289.062,136.353,-221.985
-0.476,-1.451,0.455,269.409,90.210,-221.313
-0.256,-1.474,0.705,248.901,41.260,-202.881
-0.303,-1.518,0.630,224.609,-33.752,-158.997
-0.369,-1.539,0.642,194.885,-82.642,-113.708
-0.460,-1.557,0.677,161.438,-99.792,-63.416
-0.545,-1.590,0.768,124.939,-104.187,-18.311
-0.610,-1.634,0.896,86.609,-111.206,10.986
-0.638,-1.667,1.012,44.922,-122.864,26.428
-0.597,-1.755,1.185,-0.793,-141.357,29.602
-0.619,-1.968,1.404,-47.302,-168.335,29.358
-0.595,-2.187,1.650,-96.619,-202.454,35.034
-0.477,-2.327,1.830,-152.039,-244.934,47.058
-0.292,-2.281,1.845,-208.008,-288.513,64.209
-0.192,-2.097,1.819,-250.427,-316.650,85.449
-0.309,-1.926,1.784,-266.418,-319.824,103.943
-0.709,-1.784,1.638,-243.774,-281.921,108.704
-1.014,-1.536,1.462,-189.758,-182.190,93.506
-1.171,-1.317,1.218,-123.230,-51.086,61.951
-1.272,-1.132,1.059,-53.467,75.317,29.663
-1.269,-1.042,0.978,1.404,169.739,6.287
-1.225,-0.907,1.005,33.386,227.844,-5.798
-1.176,-0.894,1.073,17.456,203.308,0.366
-1.033,-0.921,1.150,-12.817,159.119,18.799
-0.890,-0.823,1.155,-52.307,109.436,47.852
-0.846,-0.715,1.036,-88.867,62.622,81.848
-0.858,-0.680,0.989,-115.295,27.771,105.896
-0.916,-0.663,1.010,-134.521,12.512,113.342
-0.918,-0.601,0.979,-143.372,9.521,105.652
-0.821,-0.531,0.941,-138.428,17.700,80.627
-0.780,-0.443,0.994,-127.563,35.278,48.340
-0.614,-0.533,1.016,-119.202,60.364,16.663
-0.563,-0.606,1.058,-116.211,92.651,-10.437
-0.444,-0.694,1.106,-117.676,117.859,-27.344
-0.241,-0.705,1.069,-121.338,128.418,-34.363
-0.020,-0.737,1.118,-108.826,111.877,-31.250
0.068,-0.729,1.167,-87.158,83.191,-18.799
0.172,-0.753,1.232,-63.049,60.547,1.953
0.238,-0.856,1.292,-42.236,52.002,24.475
0.248,-0.862,1.340,-29.358,51.025,43.152
0.274,-0.833,1.349,-22.034,52.368,54.932
0.329,-0.794,1.343,-11.719,53.467,58.716
0.401,-0.783,1.324,3.784,61.096,57.739
0.415,-0.755,1.282,17.212,75.562,57.617
0.400,-0.717,1.193,22.705,83.130,63.477
0.379,-0.650,1.038,18.860,82.825,78.369
0.309,-0.587,0.985,7.812,74.402,94.849
0.306,-0.449,0.804,-10.376,71.777,111.572
0.212,-0.399,0.676,-24.170,73.242,121.887
0.125,-0.306,0.511,-34.058,84.595,130.798
0.071,-0.234,0.323,-44.495,96.985,136.353
0.042,-0.140,0.165,-52.734,100.830,136.963
0.035,-0.044,0.007,-53.711,95.215,140.198
0.288,0.160,-0.217,-50.842,85.693,146.606
0.007,0.051,-0.180,-42.664,81.482,162.292
-0.062,0.148,-0.268,-35.095,69.153,169.556
-0.046,0.274,-0.448,-25.879,46.875,174.561
-0.020,0.362,-0.620,-5.432,21.667,180.664
-0.054,0.504,-0.645,26.306,-1.465,182.800
-0.174,0.664,-0.641,48.706,-24.414,171.021
-0.277,0.956,-0.674,51.941,-48.767,143.677
-0.384,1.232,-0.729,50.781,-66.467,104.309
-0.469,1.414,-0.906,55.359,-74.036,56.580
-0.618,1.512,-1.226,70.984,-69.763,9.827
-0.712,1.507,-1.306,86.365,-56.702,-29.663
-0.718,1.391,-1.258,90.454,-50.659,-67.383
-0.559,1.190,-1.087,82.642,-64.148,-100.891
-0.397,0.978,-0.927,61.462,-97.412,-120.667
-0.309,0.796,-0.806,34.607,-138.123,-125.916
-0.290,0.637,-0.668,15.442,-170.593,-123.230
-0.300,0.468,-0.515,6.287,-190.613,-120.544
-0.270,0.304,-0.331,6.592,-200.317,-119.141
-0.246,0.165,-0.126,14.160,-202.515,-115.051
-0.231,0.052,0.081,28.137,-196.533,-106.018
-0.279,-0.064,0.304,46.021,-179.932,-95.703
-0.346,-0.245,0.524,65.857,-153.381,-89.966
-0.364,-0.519,0.811,85.693,-120.239,-87.280
-0.376,-0.855,1.049,103.577,-86.975,-81.848
-0.275,-1.318,1.361,112.000,-42.053,-68.726
0.063,-1.513,2.105,96.741,19.165,-55.664
0.714,-1.287,2.438,50.049,55.969,-40.710
0.768,-1.013,1.954,43.457,31.738,-48.889
0.285,-0.825,1.691,48.523,29.114,-55.664
0.056,-0.837,1.401,67.749,64.636,-75.684
-0.124,-0.840,1.189,86.426,106.873,-101.074
-0.292,-0.837,0.966,105.164,145.020,-123.779
-0.378,-0.812,0.845,120.667,174.866,-141.479
-0.401,-0.781,0.802,131.775,189.697,-148.560
-0.369,-0.745,0.760,139.832,192.932,-145.081
