aX,aY,aZ,gX,gY,gZ
-0.061,0.497,1.703,-100.952,-49.988,4.944
-0.298,-0.012,1.457,-127.502,26.978,-6.653
-0.072,0.058,1.714,-168.945,97.229,24.231
-0.197,0.373,1.508,-129.089,112.732,-16.724
0.020,0.417,1.513,-63.232,125.793,-46.570
0.104,0.357,1.480,-30.579,118.958,-47.546
0.173,0.505,1.496,-20.996,121.277,-55.420
0.277,0.725,1.374,-30.457,132.751,-75.378
0.304,0.939,1.192,-43.823,125.122,-90.088
0.292,0.946,1.081,-46.814,101.135,-104.248
0.292,0.993,0.915,-57.861,84.106,-124.390
0.301,0.994,0.834,-72.876,74.585,-147.095
0.300,0.665,0.896,-78.857,64.758,-156.860
0.115,0.485,1.151,-93.689,61.890,-145.874
0.185,0.598,1.015,-131.775,88.074,-133.728
0.286,0.780,1.051,-156.128,101.501,-111.755
0.289,0.824,1.040,-164.856,115.723,-92.407
0.248,0.692,0.914,-164.490,132.324,-87.524
0.111,0.553,0.834,-154.907,142.151,-90.637
0.102,0.550,0.912,-134.766,139.221,-96.680
0.338,0.735,0.945,-110.046,136.536,-115.479
0.312,0.665,0.896,-82.642,135.376,-145.142
0.357,0.421,0.776,-64.514,122.925,-155.457
0.295,0.275,0.907,-65.735,85.510,-143.372
0.061,0.323,1.467,-64.941,61.829,-130.920
0.187,-0.427,1.451,-41.443,79.834,-129.700
-0.243,-0.086,2.129,-32.715,100.525,-112.915
-0.472,0.242,2.222,52.185,94.666,-75.195
-0.281,0.983,1.182,152.161,89.966,-34.973
-0.368,2.107,0.508,206.970,64.636,-4.456
-0.875,-0.314,0.875,299.072,-15.503,-19.165
-0.550,-1.296,1.818,311.646,-65.247,-21.790
-0.423,0.077,1.349,162.231,15.686,45.288
-0.452,-0.432,0.952,116.394,63.965,10.620
-0.124,-0.477,1.092,77.148,87.097,-18.372
0.153,-0.419,1.049,38.391,138.550,-54.565
0.429,-0.542,0.953,11.475,185.059,-81.116
0.474,-0.800,0.832,7.446,196.594,-70.068
-0.283,-0.893,0.973,-0.916,172.485,-55.420
-0.153,-0.818,1.058,-40.100,143.677,-105.286
-0.057,-0.620,0.963,-90.454,149.658,-150.696
-0.114,-0.467,0.935,-106.445,147.949,-178.528
-0.142,-0.359,0.926,-102.905,130.371,-189.392
0.082,-0.141,0.921,-97.107,125.061,-188.965
-0.068,-0.269,0.850,-75.562,123.413,-169.373
-0.299,-0.361,0.682,-47.241,123.291,-165.100
-0.242,-0.322,0.357,-28.503,136.108,-177.246
-0.161,-0.159,-0.050,-17.395,153.137,-184.631
-0.098,0.028,-0.611,-11.902,171.021,-190.308
0.187,0.193,-1.252,-16.174,194.946,-201.660
0.839,0.433,-1.924,-34.241,225.098,-218.323
1.779,0.625,-2.491,-59.998,255.615,-235.229
2.697,0.791,-2.878,-79.102,276.917,-236.145
3.148,0.954,-2.857,-85.449,284.790,-213.074
2.964,1.053,-2.736,-77.087,244.812,-182.434
2.504,1.015,-2.641,-44.861,181.763,-169.495
1.743,0.693,-2.419,5.554,112.366,-169.678
0.892,0.294,-2.094,49.988,61.218,-162.476
0.341,-0.166,-1.782,77.148,55.054,-153.442
-0.101,-0.638,-1.474,77.576,59.937,-152.283
-0.039,-0.982,-1.171,42.358,87.646,-161.865
0.070,-1.186,-1.033,-6.287,111.511,-181.458
0.314,-1.258,-0.907,-54.443,115.723,-196.167
0.554,-1.241,-0.804,-94.849,102.600,-198.059
0.681,-1.201,-0.605,-120.483,77.820,-190.125
0.720,-1.110,-0.345,-138.367,58.289,-172.974
0.589,-1.098,-0.086,-157.654,58.594,-145.752
0.528,-0.974,0.332,-188.538,97.595,-117.310
0.569,-1.012,0.749,-214.172,150.208,-88.684
0.773,-0.940,1.079,-264.221,219.849,-65.979
1.372,-0.588,1.203,-314.575,277.771,-51.758
1.309,-0.428,1.609,-294.128,279.785,-36.499
1.252,-0.253,1.657,-254.211,254.028,-32.898
1.528,-0.090,1.512,-191.162,196.777,-30.029
1.766,-0.052,1.461,-132.629,136.780,-20.020
1.913,-0.051,1.452,-80.139,80.627,-7.385
2.002,-0.025,1.437,-50.537,46.875,5.005
1.970,0.045,1.464,-39.856,42.480,27.466
1.977,0.191,1.499,-33.813,48.035,40.344
1.940,0.330,1.448,-23.315,21.606,45.471
1.764,0.264,1.525,-3.296,-27.588,50.903
1.438,0.198,1.608,13.062,-78.491,50.720
1.195,0.132,1.671,18.311,-109.619,48.950
1.040,0.135,1.745,15.259,-119.202,44.800
0.437,-0.006,1.895,-0.061,-115.540,27.771
0.662,0.025,1.783,-37.354,-93.323,-24.597
0.579,0.021,1.714,-64.697,-65.979,-70.740
0.580,-0.006,1.775,-71.960,-50.354,-97.290
0.407,-0.074,1.932,-68.604,-59.082,-112.854
0.138,-0.129,2.108,-55.359,-66.223,-114.746
-0.138,-0.199,2.145,-36.011,-56.519,-112.183
-0.314,-0.196,2.016,-20.325,-30.212,-114.990
-0.437,-0.149,1.864,-3.967,6.836,-116.943
-0.652,-0.128,1.631,18.799,42.786,-118.835
-0.834,-0.146,1.072,40.955,68.237,-123.413
-0.971,-0.349,0.469,63.416,97.839,-122.192
-0.909,-0.518,-0.264,72.693,123.047,-124.146
-0.837,-0.809,-0.976,66.284,134.949,-125.671
-0.544,-1.207,-1.731,43.945,127.258,-116.516
-0.293,-1.635,-2.530,14.160,101.440,-83.008
0.032,-1.872,-3.080,-23.865,92.651,-40.771
0.352,-2.100,-4.000,-104.919,121.277,-37.292
1.476,-1.919,-4.000,-170.532,165.222,-108.215
2.396,-2.300,-4.000,-178.162,140.686,-199.463
2.450,-2.504,-4.000,-135.254,48.645,-223.511
1.661,-2.443,-3.949,-78.857,-49.011,-166.321
0.625,-2.164,-2.506,-21.667,-107.117,-78.064
0.004,-1.923,-1.567,33.752,-116.272,16.357
-0.196,-1.565,-1.056,69.641,-98.389,99.121
-0.310,-1.227,-0.712,81.116,-74.097,143.555
-0.326,-0.944,-0.444,70.068,-54.504,140.320
-0.203,-0.698,-0.271,46.875,-42.236,105.652
-0.051,-0.555,-0.090,23.132,-43.518,57.983
0.117,-0.504,0.144,3.662,-56.091,11.902
0.267,-0.497,0.397,-11.047,-74.890,-32.227
0.391,-0.525,0.706,-19.226,-87.097,-70.435
0.521,-0.570,1.019,-18.799,-83.679,-95.459
0.648,-0.630,1.323,-9.827,-67.810,-101.379
0.793,-0.679,1.554,6.348,-45.288,-92.773
1.113,-0.749,1.801,47.302,-6.042,-54.871
1.226,-0.796,1.870,67.993,0.671,-34.424
1.336,-0.827,1.920,86.853,1.587,-13.062
1.452,-0.856,1.879,101.440,1.587,7.751
1.496,-0.857,1.873,113.525,-3.357,31.067
1.385,-0.908,1.885,122.253,-11.719,57.800
1.248,-0.817,2.025,119.080,-22.705,72.021
1.032,-0.699,2.137,102.051,-44.434,80.139
0.799,-0.590,2.196,76.050,-67.505,78.430
0.607,-0.529,2.249,47.913,-84.778,66.223
0.434,-0.489,2.291,24.963,-95.398,54.993
0.262,-0.441,2.287,8.606,-96.130,46.875
0.105,-0.397,2.248,0.244,-91.187,43.274
-0.049,-0.351,2.238,-1.709,-84.656,43.030
-0.193,-0.302,2.206,1.831,-72.144,44.678
-0.367,-0.279,2.100,10.254,-50.293,46.326
-0.526,-0.273,1.893,20.020,-21.057,46.692
-0.610,-0.255,1.580,23.376,16.907,42.480
-0.675,-0.317,1.089,15.564,54.871,29.663
-0.692,-0.403,0.545,-6.836,81.055,11.780
-0.742,-0.494,-0.118,-44.067,93.445,-8.179
-0.718,-0.616,-1.006,-87.280,89.355,-27.100
-0.579,-0.678,-2.082,-121.765,71.411,-44.495
-0.021,-0.625,-2.980,-135.071,47.485,-66.650
0.520,-0.649,-3.815,-118.225,26.184,-88.806
1.419,-0.827,-4.000,-81.543,16.724,-116.272
2.261,-1.117,-4.000,-34.851,8.728,-149.658
2.666,-1.706,-4.000,16.052,-11.536,-174.988
2.386,-2.242,-4.000,41.382,-59.753,-174.133
1.771,-2.459,-3.202,36.621,-106.934,-147.583
0.969,-2.389,-2.063,27.588,-118.958,-92.773
0.459,-2.179,-1.358,25.574,-93.872,-11.780
0.260,-1.844,-1.028,28.564,-54.810,76.538
0.140,-1.412,-0.736,29.663,-28.015,138.794
-0.034,-1.056,-0.425,27.222,-16.541,154.846
-0.111,-0.781,-0.190,21.240,-11.780,134.888
-0.077,-0.594,0.064,12.146,-10.254,93.994
0.252,-0.734,1.179,-26.978,-25.818,-75.256
0.396,-0.790,1.411,-12.817,-2.808,-78.308
0.579,-0.837,1.561,12.390,28.198,-64.026
0.750,-0.909,1.615,43.640,58.044,-41.077
1.000,-0.985,1.677,73.608,84.656,-18.616
1.296,-0.999,1.661,93.140,101.990,2.502
1.514,-0.981,1.624,100.952,109.009,23.987
1.653,-0.931,1.718,98.999,107.361,42.175
1.683,-0.830,1.860,86.548,75.439,53.589
1.597,-0.769,2.014,62.927,18.005,50.720
1.373,-0.737,2.229,35.217,-48.096,41.687
1.021,-0.704,2.280,8.850,-108.521,43.884
0.623,-0.605,2.209,-13.306,-152.588,48.767
0.250,-0.523,2.218,-27.161,-183.411,50.476
-0.075,-0.494,2.247,-28.625,-194.885,53.223
-0.339,-0.491,2.330,-16.663,-180.969,59.692
-0.536,-0.495,2.443,6.714,-144.409,68.359
-0.675,-0.491,2.466,34.241,-90.271,76.904
-0.757,-0.482,2.357,54.443,-35.095,77.515
-0.807,-0.500,2.113,59.326,12.329,67.627
-0.832,-0.540,1.697,46.997,52.368,50.049
-0.857,-0.613,1.164,20.508,81.848,28.198
-0.819,-0.729,0.554,-20.630,102.600,6.531
-0.806,-0.836,-0.212,-71.228,114.441,-11.414
-0.716,-0.964,-1.169,-118.103,107.056,-25.391
-0.420,-0.969,-2.211,-157.593,75.317,-35.583
0.089,-0.874,-3.319,-181.641,25.391,-45.776
0.790,-0.848,-4.000,-168.396,-23.010,-61.035
1.995,-1.185,-4.000,-112.061,-58.594,-75.134
2.763,-1.715,-4.000,-36.560,-73.242,-64.209
2.839,-2.032,-4.000,12.085,-77.148,-38.086
2.500,-2.091,-3.975,17.395,-78.247,-18.127
1.822,-1.973,-3.090,20.935,-58.044,12.756
0.975,-1.642,-1.940,33.325,-22.095,58.105
0.343,-1.434,-1.226,49.683,7.629,115.784
0.173,-1.206,-0.898,58.533,23.682,169.250
0.047,-0.963,-0.622,50.659,13.855,188.293
-0.047,-0.859,-0.389,32.288,-10.742,171.204
-0.078,-0.784,-0.111,11.230,-16.968,127.747
0.002,-0.736,0.164,-8.606,-8.423,70.984
0.154,-0.715,0.446,-26.855,-2.441,16.357
0.263,-0.747,0.775,-41.504,-0.366,-22.156
0.395,-0.769,1.092,-49.072,6.104,-49.377
0.555,-0.808,1.346,-48.462,21.912,-67.383
0.728,-0.864,1.556,-43.762,44.312,-74.158
0.920,-0.888,1.601,-38.635,60.974,-72.021
1.003,-0.828,1.540,-33.081,72.937,-61.890
1.056,-0.796,1.426,-21.912,87.463,-49.133
1.310,-0.805,1.528,-5.371,112.305,-42.175
1.496,-0.848,1.552,5.920,116.150,-43.396
1.686,-0.862,1.525,10.132,92.590,-42.236
1.782,-0.853,1.509,8.972,60.547,-38.696
1.839,-0.843,1.487,1.099,32.959,-35.095
1.788,-0.772,1.485,-8.911,5.188,-28.381
1.628,-0.738,1.493,-18.616,-26.367,-11.414
