aX,aY,aZ,gX,gY,gZ
0.623,-1.101,1.084,117.310,264.954,209.961
0.697,-1.174,1.070,127.380,270.203,236.206
0.534,-1.238,1.124,137.756,284.363,257.629
0.479,-1.337,1.360,135.132,299.377,278.931
0.371,-1.384,1.362,101.135,294.495,302.063
0.312,-1.273,0.959,67.871,273.376,314.209
0.390,-0.926,0.795,87.891,278.442,304.749
0.260,-0.770,0.952,130.554,312.866,286.865
0.168,-0.698,0.870,126.526,326.538,281.494
0.248,-0.588,0.767,103.333,328.186,287.231
0.244,-0.540,0.640,75.867,323.792,300.293
0.353,-0.581,0.621,54.138,317.078,310.059
0.402,-0.598,0.597,42.725,303.345,327.148
0.215,-0.558,0.573,31.555,290.955,338.501
0.242,-0.392,0.400,15.442,293.030,344.971
0.273,-0.265,0.222,10.315,298.157,351.074
0.297,-0.208,0.082,19.653,297.180,355.347
0.249,-0.036,-0.062,31.799,291.809,362.610
0.237,0.199,-0.239,39.001,281.494,369.812
0.203,0.405,-0.411,36.804,263.306,363.403
0.236,0.566,-0.564,19.409,234.192,342.651
0.308,0.692,-0.593,-3.357,199.585,315.308
0.341,0.875,-0.636,-19.043,175.903,286.926
0.358,1.011,-0.751,-25.513,161.804,260.681
0.415,1.106,-0.793,-24.902,146.423,233.154
0.445,1.255,-0.784,-21.851,133.667,201.050
0.491,1.378,-0.824,-14.343,124.695,172.424
0.409,1.487,-0.805,-8.301,120.178,151.367
0.428,1.517,-0.953,-12.085,122.498,138.367
0.402,1.613,-0.992,-23.071,118.591,135.498
0.378,1.778,-1.027,-21.545,110.901,137.024
0.143,1.999,-1.215,-11.047,111.267,127.258
0.125,1.928,-1.155,8.972,106.201,96.252
0.128,1.758,-1.093,36.255,113.098,62.866
0.244,1.667,-1.095,65.674,133.850,41.870
0.308,1.606,-1.044,92.773,138.977,30.640
0.337,1.580,-0.989,110.657,138.367,24.536
0.345,1.568,-0.979,123.718,143.372,18.494
0.362,1.579,-1.000,136.353,149.902,8.545
0.354,1.544,-1.063,145.996,153.625,-7.080
0.379,1.516,-1.149,151.184,151.855,-24.231
0.404,1.189,-1.438,151.978,139.160,-36.377
0.432,1.249,-1.320,163.818,93.445,-24.414
0.415,1.266,-1.193,163.513,57.800,-14.587
0.473,1.266,-1.128,136.230,57.007,-14.282
